"Fecha","Tipo","Jugador/Beneficiario","De (Vendedor)","A (Comprador)","Importe"
"14/11/2025","Traspaso","Akor","LALIGA","GOLENCIERRO FC","1283181"
"14/11/2025","Traspaso","Cayetano","LALIGA","Vigar FC","496429"
"14/11/2025","Traspaso","Ratiu","Visite La Manga FC","Pablinistan FC","20198213"
"14/11/2025","Traspaso","C. Romero","Morenazos FC","Vigar FC","20354311"
"14/11/2025","Traspaso","Danjuma","Visite La Manga FC","Vigar FC","27522836"
"15/12/2025","Traspaso","Sørloth","LALIGA","Visite La Manga FC","6678449"
"15/12/2025","Traspaso","Arda Güler","Vigar FC","LALIGA","114014770"
"14/12/2025","Traspaso","Kubo","LALIGA","Visite La Manga FC","19000000"
"14/12/2025","Traspaso","Unai Simón","LALIGA","Alcatamy eSports By","19750653"
"17/12/2025","Blindaje","Cabrera","Liga","Visite La Manga FC","0"
"17/12/2025","Blindaje","Lamine Yamal","Liga","Vigar FC","0"
"17/12/2025","Blindaje","Mbappé","Liga","Alcatamy eSports By","0"
"17/12/2025","Blindaje","Edu Expósito","Liga","Alcatamy eSports By","0"
"16/12/2025","Traspaso","Chavarría","Vigar FC","Visite La Manga FC","19056522"
"16/12/2025","Traspaso","Ratiu","Visite La Manga FC","LALIGA","38953888"
"16/12/2025","Traspaso","A. Rahim","Visite La Manga FC","LALIGA","501208"
"16/12/2025","Traspaso","Nico Williams","LALIGA","Morenazos FC","113000000"
"16/12/2025","Traspaso","Moncayola","LALIGA","Alcatamy eSports By","5755668"
"16/12/2025","Blindaje","Lejeune","Liga","Pablinistan FC","0"
"16/12/2025","Blindaje","A. Moleiro","Liga","Pablinistan FC","0"
"16/12/2025","Recompensa","Visite La Manga FC","Liga","Visite La Manga FC","200000"
"16/12/2025","Recompensa","Vigar FC","Liga","Vigar FC","100000"
"16/12/2025","Recompensa","Alcatamy eSports By","Liga","Alcatamy eSports By","100000"
"16/12/2025","Recompensa","Visite La Manga FC","Liga","Visite La Manga FC","6700000"
"16/12/2025","Recompensa","GOLENCIERRO FC","Liga","GOLENCIERRO FC","6600000"
"16/12/2025","Recompensa","Pablinistan FC","Liga","Pablinistan FC","8900000"
"16/12/2025","Recompensa","Vigar FC","Liga","Vigar FC","7700000"
"16/12/2025","Recompensa","Alcatamy eSports By","Liga","Alcatamy eSports By","8300000"
"16/12/2025","Traspaso","Fornals","LALIGA","Alcatamy eSports By","99321211"
"16/12/2025","Traspaso","lago Aspas","LALIGA","GOLENCIERRO FC","7000000"
"16/12/2025","Traspaso","Pere Milla","LALIGA","Alcatamy eSports By","18125002"
"16/12/2025","Traspaso","Barrenetxea","Alcatamy eSports By","LALIGA","68625387"
"15/12/2025","Traspaso","Arambarri","Vigar FC","LALIGA","23959622"
"14/12/2025","Traspaso","L. Milla","LALIGA","Vigar FC","89061895"
"14/12/2025","Traspaso","Tchouaméni","LALIGA","Pablinistan FC","44848100"
"14/12/2025","Traspaso","Agirrezabala","Pablinistan FC","LALIGA","13095869"
"14/12/2025","Blindaje","A. Moleiro","Liga","Pablinistan FC","0"
"16/12/2025 20:37","Traspaso","F. De Jong","Alcatamy eSports By","LALIGA","49834514"
"16/12/2025 20:00","Traspaso","Gerard Martín","LALIGA","Alcatamy eSports By","7523000"
"16/12/2025 20:00","Traspaso","N. Mendy","LALIGA","GOLENCIERRO FC","7000000"
"16/12/2025 20:00","Traspaso","Eric","LALIGA","Vigar FC","47845001"
"13/12/2025","Traspaso","Ez Abde","Vigar FC","LALIGA","49487355"
"12/12/2025","Traspaso","Lunin","Pablinistan FC","LALIGA","549391"
"12/12/2025","Traspaso","Rafa Romero","Pablinistan FC","LALIGA","534262"
"12/12/2025","Traspaso","Montero","Pablinistan FC","LALIGA","565938"
"12/12/2025","Traspaso","Guedes","LALIGA","Pablinistan FC","18044220"
"12/12/2025","Traspaso","Almeida","LALIGA","GOLENCIERRO FC","1000000"
"12/12/2025","Traspaso","Iñaki Williams","LALIGA","Pablinistan FC","10000550"
"12/12/2025","Traspaso","Leo Román","LALIGA","Visite La Manga FC","19000000"
"12/12/2025","Traspaso","Isi","LALIGA","GOLENCIERRO FC","13200000"
"12/12/2025","Blindaje","Gorrotxa","","","0"
"12/12/2025","Traspaso","Samu Costa","GOLENCIERRO FC","LALIGA","2126409"
"11/12/2025","Traspaso","Rafa Romero","Morenazos FC","Pablinistan FC","1000000"
"11/12/2025","Traspaso","Dmitrovic","Visite La Manga FC","Pablinistan FC","19300491"
